date,temp_max,temp_min,temp_mean,pressure_max,pressure_min,pressure_mean,humidity_max,humidity_min,humidity_mean
2020-02-18,7.6,2.0,4.220408163265309,1018,1011,1015.3265306122449,100,63,79.83673469387755
2020-02-19,7.2,0.4,3.9102040816326524,1020,1011,1016.204081632653,100,68,83.55102040816327
2020-02-20,8.8,1.2,5.559183673469389,1020,1001,1009.0408163265306,93,59,80.44897959183673
2020-02-21,8.4,1.2,5.412244897959184,1022,1015,1019.5918367346939,92,60,73.6938775510204
2020-02-22,11.8,6.4,8.683673469387756,1020,1010,1015.0,99,47,69.83673469387755
2020-02-23,11.8,2.4,7.29183673469388,1024,1005,1015.0816326530612,100,37,72.16326530612245
2020-02-24,10.5,2.4,6.516326530612242,1024,999,1007.0408163265306,100,56,80.3265306122449
2020-02-25,6.8,0.4,2.914285714285715,1002,992,996.3877551020408,95,46,78.40816326530613
2020-02-26,5.6,-0.4,1.9020408163265308,1006,993,1000.469387755102,89,40,74.16326530612245
2020-02-27,5.6,-1.6,1.444897959183673,1013,995,1001.734693877551,99,37,77.48979591836735
2020-02-28,9.2,-1.2,3.575510204081632,1013,989,1002.1836734693877,100,71,89.0204081632653
2020-02-29,9.6,2.8,5.697959183673469,989,977,980.8367346938776,95,46,73.34693877551021
2020-03-01,7.6,1.2,4.0326530612244875,986,982,983.795918367347,100,38,68.08163265306122
2020-03-02,7.6,0.0,3.289795918367347,995,982,987.1020408163265,100,34,73.10204081632654
2020-03-03,7.2,-1.2,2.848979591836734,1008,994,999.5918367346939,97,56,76.3265306122449
2020-03-04,6.4,-0.4,2.5142857142857147,1009,1001,1006.0408163265306,100,51,79.81632653061224
2020-03-05,4.0,2.4,3.142857142857141,1001,990,994.1020408163265,100,84,91.28571428571429
2020-03-06,6.8,-0.8,2.8979591836734695,1013,995,1003.5918367346939,99,43,71.08163265306122
2020-03-07,10.9,-0.8,5.5469387755102035,1015,1006,1012.3265306122449,96,69,79.9795918367347
2020-03-08,10.9,3.2,7.665306122448979,1006,1000,1002.7142857142857,91,45,72.53061224489795
2020-03-09,8.8,2.4,5.453061224489796,1012,999,1007.5918367346939,96,46,79.59183673469387
2020-03-10,13.6,8.0,10.681632653061227,1007,999,1001.3265306122449,100,54,81.57142857142857
2020-03-11,13.2,4.8,8.787755102040817,1010,1000,1005.7551020408164,98,35,72.40816326530613
2020-03-12,8.4,2.0,5.346938775510204,1009,1000,1005.9591836734694,76,37,60.0
2020-03-13,9.6,2.4,5.50204081632653,1018,1009,1015.3877551020408,88,37,69.51020408163265
2020-03-14,10.9,3.2,7.036734693877549,1017,1008,1011.9591836734694,100,56,79.06122448979592
2020-03-15,9.6,4.0,7.028571428571425,1013,1003,1006.4081632653061,100,57,81.40816326530613
2020-03-16,10.0,1.6,5.126530612244898,1025,1013,1020.3061224489796,93,45,73.12244897959184
2020-03-17,12.7,2.0,7.793877551020408,1027,1024,1025.6122448979593,96,62,74.75510204081633
2020-03-18,11.8,4.0,8.538775510204081,1027,1023,1024.2857142857142,100,61,86.14285714285714
2020-03-19,7.2,3.6,4.930612244897961,1029,1026,1027.7142857142858,100,67,85.24489795918367
2020-03-20,7.6,2.0,4.661224489795919,1032,1029,1030.857142857143,100,54,77.93877551020408
2020-03-21,8.4,0.0,3.8204081632653066,1032,1027,1028.6122448979593,99,23,62.816326530612244
2020-03-22,8.8,-1.2,3.379591836734695,1030,1027,1028.5714285714287,85,32,63.775510204081634
2020-03-23,9.6,-0.4,4.3428571428571425,1030,1026,1027.6734693877552,89,28,58.326530612244895
2020-03-24,13.2,0.0,5.595918367346939,1027,1024,1025.8775510204082,96,20,57.204081632653065
2020-03-25,12.7,-0.8,5.402040816326531,1026,1024,1025.0204081632653,92,19,53.755102040816325
2020-03-26,11.8,-2.8,4.116326530612246,1025,1023,1024.3061224489795,93,15,57.91836734693877
2020-03-27,11.4,-1.6,4.383673469387756,1027,1024,1025.265306122449,100,30,69.12244897959184
2020-03-28,7.6,1.6,4.334693877551021,1037,1027,1031.408163265306,92,49,71.20408163265306
2020-03-29,5.2,0.8,2.9166666666666665,1043,1037,1040.0416666666667,88,30,54.979166666666664
2020-03-30,8.0,0.4,3.461224489795919,1041,1033,1035.734693877551,91,40,74.57142857142857
